,中欧新蓝筹A,,,中欧消费主题A,,,中欧成长,,,中欧医疗健康A,,,中欧强债
,166002.OF,,,002621.OF,,,166006.OF,,,003095.OF,,,166008.SZ
日期,复权单位净值,,日期,复权单位净值,,日期,复权单位净值,,日期,复权单位净值,,日期,复权单位净值
Date,NAV_adj,,Date,NAV_adj,,Date,NAV_adj,,Date,NAV_adj,,Date,NAV_adj
2016-09-29,3.234937,,2016-09-29,0.998000,,2016-09-29,1.158374,,2016-09-29,1.000000,,2016-09-29,1.508876
2016-09-30,3.243632,,2016-09-30,1.002000,,2016-09-30,1.164128,,2016-09-30,1.000000,,2016-09-30,1.509164
2016-10-10,3.286740,,2016-10-10,1.010000,,2016-10-10,1.174381,,2016-10-10,1.000000,,2016-10-10,1.511471
2016-10-11,3.302498,,2016-10-11,1.011000,,2016-10-11,1.182123,,2016-10-11,1.000000,,2016-10-11,1.511759
2016-10-12,3.312279,,2016-10-12,1.008000,,2016-10-12,1.179507,,2016-10-12,1.000000,,2016-10-12,1.512047
2016-10-13,3.311011,,2016-10-13,1.005000,,2016-10-13,1.176578,,2016-10-13,1.000000,,2016-10-13,1.513200
2016-10-14,3.314271,,2016-10-14,1.009000,,2016-10-14,1.172707,,2016-10-14,1.002000,,2016-10-14,1.513777
2016-10-17,3.288189,,2016-10-17,1.002000,,2016-10-17,1.167476,,2016-10-17,1.002000,,2016-10-17,1.514498
2016-10-18,3.320973,,2016-10-18,1.016000,,2016-10-18,1.178252,,2016-10-18,1.002000,,2016-10-18,1.515079
2016-10-19,3.313003,,2016-10-19,1.013000,,2016-10-19,1.176787,,2016-10-19,1.002000,,2016-10-19,1.515516
2016-10-20,3.314090,,2016-10-20,1.014000,,2016-10-20,1.183378,,2016-10-20,1.002000,,2016-10-20,1.516097
2016-10-21,3.304490,,2016-10-21,1.013000,,2016-10-21,1.180658,,2016-10-21,0.997000,,2016-10-21,1.516679
2016-10-24,3.313366,,2016-10-24,1.019000,,2016-10-24,1.190806,,2016-10-24,0.997000,,2016-10-24,1.516970
2016-10-25,3.322422,,2016-10-25,1.020000,,2016-10-25,1.193108,,2016-10-25,0.997000,,2016-10-25,1.516097
2016-10-26,3.324052,,2016-10-26,1.017000,,2016-10-26,1.185052,,2016-10-26,0.997000,,2016-10-26,1.514498
2016-10-27,3.325864,,2016-10-27,1.016000,,2016-10-27,1.187145,,2016-10-27,0.997000,,2016-10-27,1.513625
2016-10-28,3.321335,,2016-10-28,1.013000,,2016-10-28,1.177833,,2016-10-28,0.991000,,2016-10-28,1.513771
2016-10-31,3.324052,,2016-10-31,1.012000,,2016-10-31,1.177624,,2016-10-31,0.993000,,2016-10-31,1.513771
2016-11-01,3.349772,,2016-11-01,1.021000,,2016-11-01,1.189656,,2016-11-01,0.995000,,2016-11-01,1.513916
2016-11-02,3.333290,,2016-11-02,1.016000,,2016-11-02,1.189237,,2016-11-02,0.993000,,2016-11-02,1.513916
2016-11-03,3.340716,,2016-11-03,1.021000,,2016-11-03,1.188714,,2016-11-03,0.991000,,2016-11-03,1.514352
2016-11-04,3.335282,,2016-11-04,1.022000,,2016-11-04,1.180763,,2016-11-04,0.990000,,2016-11-04,1.514643
2016-11-07,3.325501,,2016-11-07,1.018000,,2016-11-07,1.175410,,2016-11-07,0.989000,,2016-11-07,1.515079
2016-11-08,3.341440,,2016-11-08,1.023000,,2016-11-08,1.182160,,2016-11-08,0.990000,,2016-11-08,1.514643
2016-11-09,3.318981,,2016-11-09,1.015000,,2016-11-09,1.181694,,2016-11-09,0.983000,,2016-11-09,1.514643
2016-11-10,3.345425,,2016-11-10,1.029000,,2016-11-10,1.193099,,2016-11-10,0.988000,,2016-11-10,1.513916
2016-11-11,3.347055,,2016-11-11,1.026000,,2016-11-11,1.195194,,2016-11-11,0.985000,,2016-11-11,1.512898
2016-11-14,3.343976,,2016-11-14,1.019000,,2016-11-14,1.193215,,2016-11-14,0.984000,,2016-11-14,1.512462
2016-11-15,3.356293,,2016-11-15,1.025000,,2016-11-15,1.190422,,2016-11-15,0.985000,,2016-11-15,1.510717
2016-11-16,3.346512,,2016-11-16,1.023000,,2016-11-16,1.193332,,2016-11-16,0.983000,,2016-11-16,1.510136
2016-11-17,3.345425,,2016-11-17,1.020000,,2016-11-17,1.190306,,2016-11-17,0.982000,,2016-11-17,1.508827
2016-11-18,3.344520,,2016-11-18,1.013000,,2016-11-18,1.184371,,2016-11-18,0.978000,,2016-11-18,1.507955
2016-11-21,3.342527,,2016-11-21,1.021000,,2016-11-21,1.187280,,2016-11-21,0.981000,,2016-11-21,1.507664
2016-11-22,3.345425,,2016-11-22,1.026000,,2016-11-22,1.195892,,2016-11-22,0.988000,,2016-11-22,1.507373
2016-11-23,3.340354,,2016-11-23,1.019000,,2016-11-23,1.191586,,2016-11-23,0.985000,,2016-11-23,1.506937
2016-11-24,3.335101,,2016-11-24,1.022000,,2016-11-24,1.195892,,2016-11-24,0.990000,,2016-11-24,1.507082
2016-11-25,3.341444,,2016-11-25,1.028000,,2016-11-25,1.202293,,2016-11-25,0.994000,,2016-11-25,1.506792
2016-11-28,3.348919,,2016-11-28,1.031000,,2016-11-28,1.204970,,2016-11-28,0.995000,,2016-11-28,1.506792
